STD,F’S=0.1,F’S=0.2,F’S=0.8,F=0.3,F=1.2,F=1.8,I=0.1,I=0.2,I=0.8,E=0.1,E=0.3,E=0.4
2421.57455,2309.19987779501,2650.56988354423,3427.73913922093,1530.57967,4629.19125,7344.89266,1725.14629903301,2361.16016048508,3114.86019558349,1518.11858,2717.1262,2917.2866
2450.71107,2323.19193755043,2672.28228903621,3463.37075152374,1543.55587,4674.078,7355.42458,1741.70976189448,2380.83089363206,3148.24655897237,1551.24452,2782.54682,2957.13112
2481.60712,2345.58765640242,2693.10407451609,3507.0324048156,1555.11244,4731.54585,7367.97224,1764.8676121855,2406.98185082343,3185.05559091117,1584.59562,2862.4466,3001.97154
2528.51364,2370.8232121239,2712.95024604379,3536.56639126787,1564.08566,4788.51677,7403.10136,1788.083874816,2427.0021888911,3217.58666997671,1604.74103,2909.77735,3056.64187
2579.57415,2395.58213370526,2733.83450411198,3557.43485255003,1572.05829,4846.30452,7466.43672,1811.2966974003,2445.34444794291,3231.22469217757,1623.64033,2963.42346,3112.41068
2630.76756,2408.5496958325,2762.32325669782,3571.11667543025,1582.64746,4884.55626,7550.22962,1826.97651444326,2460.56096736679,3245.97851243086,1639.59927,2999.21883,3159.96518
2663.11834,2424.61165924089,2791.42119216196,3578.85406559606,1593.89315,4916.06416,7660.35527,1841.01104236871,2481.99272306195,3268.58488092169,1662.97092,3038.17379,3210.62984
2673.52718,2450.90623101468,2817.87919643862,3581.62924153859,1608.26012,4941.11608,7770.43898,1857.99391136239,2501.78837808576,3298.0909186705,1693.98704,3068.72386,3258.54034
2680.2791,2478.50353805111,2851.47438438678,3593.51375476026,1627.24932,4975.12805,7866.58085,1874.54739074622,2524.52386022954,3321.53139991844,1725.11459,3097.29153,3307.1887
2682.41126,2502.81124714649,2887.91568949842,3610.36435925977,1666.32056,5021.54083,7920.72596,1891.69666042173,2541.58608766306,3334.23670371779,1755.94333,3118.78174,3335.10047
2694.18807,2514.79825037285,2927.03498811037,3644.19204947067,1714.99931,5066.82578,7971.78336,1904.50921023359,2568.08362957852,3343.07586072723,1780.73458,3137.25999,3356.87917
2705.06987,2524.49052617054,2954.11910885509,3668.48970841276,1762.08264,5122.76532,8011.62387,1918.91957413106,2586.8695834483,3369.786752889,1807.25858,3149.45368,3375.68393
2736.00159,2540.11704864201,2983.80912605976,3694.81211157668,1792.30172,5174.81022,8070.20345,1951.78015687293,2621.18028260537,3398.37876272326,1838.02163,3152.1214,3398.33395
2767.26429,2571.02280829584,3010.44528698297,3715.64279066455,1815.62887,5226.40711,8145.18746,1987.7303462008,2657.19161321073,3457.41734312245,1870.47904,3154.62702,3420.55824
2813.10318,2605.73326472091,3033.77985594188,3739.08940711491,1832.07145,5254.63547,8223.30018,2032.68050061475,2696.60201916323,3500.61146116915,1902.02313,3159.32835,3440.46644
2845.82349,2637.44717460335,3048.7380019183,3757.58086622256,1848.0254,5269.30051,8288.51953,2061.2805693631,2721.57636647478,3546.26600085832,1923.17344,3161.90307,3474.22627
