STD,F’S=0.1,F’S=0.2,F’S=0.8,F=0.3,F=1.2,F=1.8,I=0.1,I=0.2,I=0.8,E=0.1,E=0.3,E=0.4
3915.55073,3693.95441167561,4112.65511598032,4468.82470096927,2501.7675,6524.16824,10306.37228,3151.19667548855,3700.64916776551,4000.14243126312,3111.31988,4203.68082,4236.38382
3903.83752,3704.98023705603,4132.45619152821,4531.92728135614,2503.32649,6536.93612,10303.03001,3178.84590382762,3688.14497508629,4095.98496832458,3118.45777,4228.41846,4241.79595
3907.72765,3703.161556413,4156.23256816838,4584.30615646508,2500.03746,6513.41287,10253.10246,3210.53891586324,3680.62246857036,4116.81571991755,3135.57853,4260.19852,4235.12395
3904.46303,3698.62765202714,4171.71272527265,4588.81178089758,2506.69146,6492.3618,10192.24849,3247.93736393818,3702.33112873132,4125.84437764842,3150.78026,4280.0354,4234.40531
3919.08814,3690.88446835469,4183.60336535487,4590.6500141392,2504.43112,6461.64693,10103.79219,3256.74165596028,3729.36435946032,4118.0622595132,3153.34476,4289.89212,4240.72719
3915.96023,3683.70838407637,4201.2928581255,4585.78678567402,2506.77652,6415.99375,10075.83014,3260.83020397968,3758.24873763834,4127.46556743233,3144.84822,4286.83084,4230.18117
3930.25967,3681.16253048621,4216.99088469607,4575.83778662931,2500.79353,6371.52014,10013.04647,3281.90077198799,3761.65825941974,4132.8958053891,3145.36155,4279.72326,4224.40365
3942.89398,3690.89814291251,4235.59172189765,4570.49067446067,2497.99934,6321.59478,10019.29732,3304.91859519355,3765.63303941162,4149.11051456429,3145.76491,4264.82282,4223.0715
3960.58073,3712.04609467975,4250.72482798541,4565.63078555133,2489.44391,6314.31498,10084.39076,3331.30827343632,3762.96989976628,4143.04350399067,3149.09829,4254.75455,4216.71623
3951.94494,3740.99880751845,4260.24561664328,4563.88138533573,2508.04065,6305.17395,10038.45962,3334.05977372596,3759.87422783557,4135.36704371098,3146.19564,4242.49414,4216.91221
3944.65514,3766.88427377297,4265.7603955924,4559.00686084408,2527.71558,6317.48979,10078.39207,3337.63400943245,3751.54646552037,4114.40234954034,3145.88179,4239.0284,4220.28036
3930.87002,3803.10990959162,4262.6355091138,4552.0367425693,2552.63658,6351.12475,10009.59234,3338.34715663169,3744.47777867119,4110.83611865026,3149.93849,4237.54984,4228.65985
